title,release year,ratingDescription
Marvel's Hulk: Where Monsters Dwell,2016,60.0
Marvel's Iron Fist,2017,110.0
Marvel's Jessica Jones,2015,110.0
Marvel's Luke Cage,2016,110.0
Masha and the Bear,2013,10.0
Master of None,2015,110.0
Max Steel,2014,42.0
Mean Girls 2,2011,80.0
Meet the Blacks,2016,100.0
Merl?,2015,70.0
Mia and Me,2015,10.0
Mickey's Twice Upon a Christmas,2004,35.0
Mighty Morphin Power Rangers,2010,42.0
Minimalism: A Documentary About the Important Things,2016,70.0
Minions,2015,60.0
Missione Hamburger,1997,60.0
Monster Math Squad,2012,35.0
Mother Goose Club,2016,10.0
Mr. Magoo,1997,60.0
Mulan 2,2004,35.0
My Animal Friends,2013,10.0
NCIS,2016,90.0
Nancy Drew,2007,60.0
Narcos,2016,110.0
Naruto,2008,70.0
New Girl,2016,90.0
Nexo Knights,2015,42.0
Ninja Turtles: The Next Mutation,1997,42.0
No Tomorrow,2016,90.0
November Rule,2015,90.0
Nurse Jackie,2015,110.0
Nymphomaniac: Volume 1,2013,124.0
O Amor no Diṿ,2016,110.0
Octonauts,2015,10.0
Once Upon a Time,2016,70.0
One Day at a Time,2017,70.0
One Tree Hill,2011,90.0
Only for One Night,2016,110.0
Open Season: Scared Silly,2015,60.0
Opera̵̤es Especiais,2015,110.0
Orange Is the New Black,2016,110.0
Oscar's Oasis,2011,35.0
Pac-Man and the Ghostly Adventures,2014,41.0
Paddington,2014,60.0
"Pai, - Look at This",2007,110.0
Pandora,2016,110.0
Parenthood,2014,90.0
Parks and Recreation,2015,90.0
Paulie,1998,60.0
Person of Interest,2016,90.0
Pet Pals in Windland,2014,35.0
Pete's Dragon,2016,60.0
Phineas and Ferb,2012,35.0
Pocahontas II: Journey to a New World,1998,35.0
Pocoyo,2007,10.0
Pok̩mon: Indigo League,2000,10.0
Pok̩mon: XY,2015,42.0
Pooh's Grand Adventure: The Search for Christopher Robin,1997,35.0
Pooh's Heffalump Movie,2005,35.0
PopPixie,2011,35.0
Portlandia,2016,90.0
Pound Puppies,2013,10.0
Power Rangers Dino Charge,2015,41.0
Power Rangers Dino Super Charge,2016,41.0
Power Rangers Super Megaforce,2014,41.0
Power Rangers Zeo,1996,42.0
Precious Puppies,2003,35.0
Pretty Little Liars,2016,90.0
Prison Break,2008,90.0
Private Practice,2012,90.0
Puffin Rock,2016,10.0
Pup Star,2016,35.0
Quackerz,2016,60.0
Quantico,2016,90.0
Queen of Katwe,2016,60.0
Raising Hope,2013,90.0
Ratchet and Clank,2016,60.0
Recess: Taking the Fifth Grade,2003,35.0
Rectify,2016,90.0
Reign,2015,90.0
Revenge,2015,70.0
Ribbit,2014,60.0
Ripper Street,2016,110.0
Robocar Poli,2012,10.0
Rooster Doodle-doo,2014,35.0
Rosewood,2015,90.0
Russell Madness,2015,60.0
Safe Haven,2013,80.0
Salvador Martinha - Tip of the Tongue,2016,110.0
Sammy 2,2012,70.0
Sand Castle,2017,110.0
Sandy Wexler,2017,90.0
Santa Clarita Diet,2017,110.0
Sausage Party,2016,100.0
Scandal,2016,90.0
Schitt's Creek,2016,90.0
Scooby-Doo,2002,60.0
Scooby-Doo 2: Monsters Unleashed,2004,60.0
Scream,2016,90.0
Secret of the Wings,2012,35.0
Sense8,2017,110.0
"Sex, Love and Therapy",2014,124.0
Shameless (U.S.),2016,110.0
Sherlock,2016,90.0
Sid the Science Kid,2008,10.0
Sid the Science Kid: The Movie,2012,10.0
Skin Wars,2016,90.0
Skins,2017,110.0
Skins,2013,110.0
Skylanders Academy,2016,41.0
Slam,2017,110.0
Slugterra: Slug Fu Showdown,2015,42.0
Sofia the First,2015,10.0
Some Assembly Required,2015,35.0
Spy Kids 3: Game Over,2003,60.0
Star Wars: The Clone Wars,2008,60.0
Star Wars: The Clone Wars,2014,70.0
StarStruck,2010,35.0
Step Dogs,2013,70.0
Step Up,2006,80.0
Stranger Things,2016,90.0
Stronger Than the World,2016,124.0
Super Buddies,2013,35.0
Super Why!,2015,10.0
Supernatural,2016,90.0
Switched at Birth,2015,90.0
Tad: The Lost Explorer,2012,70.0
Talking Tom and Friends,2016,35.0
Tarzan,1999,35.0
Tarzan & Jane,2002,35.0
Tayo the Little Bus,2014,10.0
Teenage Mutant Ninja Turtles,2007,60.0
That '70s Show,2005,90.0
The 100,2016,124.0
The Adventures of Chuck & Friends,2011,10.0
The Adventures of Figaro Pho,2015,41.0
The Adventures of Puss in Boots,2016,42.0
The Angriest Man in Brooklyn,2014,100.0
